Algoritmo,Tiempo Promedio (segundos)
NaivLoopUnrollingFour_2,0.000000
III.3 Sequential Block_2,0.000000
V.3 Sequential Block_2,0.000000
NaivOnArray_2,0.000000
V.4 Parallel Block_2,0.000000
WinogradOriginal_2,0.000000
StrassenNaiv_2,0.000000
WinogradScaled_2,0.000000
IV.3 Sequential Block_2,0.000000
NaivLoopUnrollingTwo_2,0.000000
